autor,estilo
BRADO,"Related artists in: german hip hop, german underground rap, turkish trap pop   ☷   ⓘ"
 EST Gee,"kentucky hip hop, trap, rap, southern hip hop, pop rap   ☷   ⓘ"
 DJ Kaioken,"Sorry, that one doesn't seem to be on any of these maps yet."
VIC MENSA,"conscious hip hop, underground hip hop, chicago rap, pop rap, rap, trap, hip hop   ☷   ⓘ"
One Direction,"boy band, pop, talent show, post-teen pop   ☷   ⓘ"
Rkomi,"italian pop, italian hip hop   ☷   ⓘ"
Luke Christopher,"indie pop rap, pop rap   ☷   ⓘ"
Tame Impala,"australian psych, neo-psychedelic   ☷   ⓘ"
Bing Crosby,"adult standards, easy listening   ☷   ⓘ"
Summer Walker,"r&b, pop, rap   ☷   ⓘ"
 Grace Jones,"new wave pop, disco, synthpop, new romantic, art rock, dance pop   ☷   ⓘ"
 Mala Rodríguez,"rap latina, spanish hip hop, latin hip hop, latin alternative   ☷   ⓘ"
 Mark Morrison,british soul   ☷   ⓘ
 Blake Shelton,"oklahoma country, contemporary country, country road, country   ☷   ⓘ"
Band Aid 30,musical advocacy   ☷   ⓘ
 Mahmood,italian pop   ☷   ⓘ
 Mabel,"dance pop, uk pop, pop, pop dance, tropical house, post-teen pop, edm   ☷   ⓘ"
Powfu,sad rap   ☷   ⓘ
 Thiago Jhonathan (TJ),forro   ☷   ⓘ
 Kenny Mason,"indie hip hop, atl hip hop, underground hip hop   ☷   ⓘ"
John Lennon,"beatlesque, classic rock, rock, album rock, art rock, mellow gold   ☷   ⓘ"
 Mc RF,"Sorry, that one doesn't seem to be on any of these maps yet."
Kawe,"brazilian hip hop, funk ostentacao   ☷   ⓘ"
TOOL,"alternative metal, nu metal, progressive metal, progressive rock, rock, alternative rock, art rock   ☷   ⓘ"
Shablo,italian hip hop   ☷   ⓘ
Jeff Costa,arrochadeira   ☷   ⓘ
Shiva,"trap italiana, italian hip hop   ☷   ⓘ"
Gloria Groove,"pop lgbtq+ brasileira, funk carioca   ☷   ⓘ"
 The Chicks,"country, country dawn, pop   ☷   ⓘ"
 glaive,"proto-hyperpop, hyperpop, glitchcore   ☷   ⓘ"
Tayrone,"arrocha, sertanejo pop, forro   ☷   ⓘ"
 Brett Eldredge,"modern country rock, contemporary country, country road, country   ☷   ⓘ"
Olivia Newton-John,"australian dance, soft rock, disco, mellow gold, adult standards, new wave pop   ☷   ⓘ"
 anders,"canadian contemporary r&b, trap soul, toronto rap, canadian hip hop   ☷   ⓘ"
JENNIE,k-pop   ☷   ⓘ
Dalex,"r&b en espanol, urbano latino, reggaeton   ☷   ⓘ"
Lil Yachty,"melodic rap, rap, atl hip hop, trap, viral rap, hip hop, underground hip hop   ☷   ⓘ"
Mitski,"brooklyn indie, pop   ☷   ⓘ"
 Syd,"alternative r&b, lgbtq+ hip hop, indie r&b, indie soul, r&b   ☷   ⓘ"
 Santigold,"electropop, alternative dance, new rave, escape room, art pop   ☷   ⓘ"
 Vargas & Lagola,swedish pop   ☷   ⓘ
Eladio Carrion,"trap boricua, trap triste, trap latino, urbano latino   ☷   ⓘ"
Burna Boy,"nigerian hip hop, afro dancehall, nigerian pop, dancehall   ☷   ⓘ"
PEDRO SAMPAIO,funk carioca   ☷   ⓘ
 Imanbek,"slap house, pop dance, tropical house, edm, dance pop, electro house   ☷   ⓘ"
 Slaves,"kent indie, english indie rock, modern rock, modern alternative rock   ☷   ⓘ"
Isaiah Rashad,"tennessee hip hop, underground hip hop, rap, hip hop   ☷   ⓘ"
 Maiara & Maraisa,"sertanejo universitario, sertanejo pop, sertanejo   ☷   ⓘ"
Grupo F1rmo,"sierreno, norteno, nueva musica mexicana, musica mexicana   ☷   ⓘ"
Jax Jones,"dance pop, tropical house, pop dance, uk dance, edm, pop, house, pop rap, electro house   ☷   ⓘ"
 Bagua Records,pop rap brasileiro   ☷   ⓘ
 Taylor Swift,pop   ☷   ⓘ
 Cruz Cafuné,"rap canario, urbano espanol   ☷   ⓘ"
 bülow,"alt z, electropop, indietronica, social media pop, indie poptimism, pop, post-teen pop   ☷   ⓘ"
Meat Loaf,"album rock, mellow gold, soft rock, classic rock, rock   ☷   ⓘ"
Tokischa,"trap dominicano, rap latina, dominican pop   ☷   ⓘ"
Jessi,k-pop   ☷   ⓘ
 Pooh Shiesty,"tennessee hip hop, memphis hip hop, trap, southern hip hop, rap   ☷   ⓘ"
 XYLØ,"la pop, indie poptimism, electropop, alt z, indie electropop, pop   ☷   ⓘ"
Pineapple StormTv,"rap baiano, trap baiano, trap brasileiro   ☷   ⓘ"
AC/DC,"hard rock, australian rock, rock   ☷   ⓘ"
Hearts & Colors,"viral pop, neo mellow, post-teen pop, pop rock   ☷   ⓘ"
The Ronettes,"brill building pop, classic girl group, adult standards, soul   ☷   ⓘ"
Trei Degete,"Related artists in: chanson virale, francoton, french hip hop, french pop, rap conscient, pop urbaine, rap calme   ☷   ⓘ"
 BENEE,"nz pop, pop, alt z   ☷   ⓘ"
 Anderson .Paak,escape room   ☷   ⓘ
Conkarah,jawaiian   ☷   ⓘ
 beabadoobee,"indie pop, bedroom pop, bubblegrunge, pop   ☷   ⓘ"
 Ski Mask The Slump God,"miami hip hop, rap   ☷   ⓘ"
WATTS,"Related artists in: electropop, pop, alt z, chill pop, la pop, chill r&b, indie poptimism, hopebeat, nyc pop, vapor soul   ☷   ⓘ"
Nekfeu,"rap conscient, pop urbaine, french hip hop   ☷   ⓘ"
Herve Pagez,musique guadeloupe   ☷   ⓘ
Trio Vegabajeño,"puerto rican folk, musica jibara   ☷   ⓘ"
 Bradley Cooper,hollywood   ☷   ⓘ
 MK,"house, pop dance, tropical house, dance pop, edm   ☷   ⓘ"
 Mc Pedrinho,"funk carioca, funk paulista, funk ostentacao, funk mtg   ☷   ⓘ"
Cochise,"plugg, pluggnb, viral rap   ☷   ⓘ"
A-Wall,bedroom pop   ☷   ⓘ
Leah Kate,"alt z, pop, post-teen pop   ☷   ⓘ"
Alvaro Soler,latin pop   ☷   ⓘ
Ninho,"pop urbaine, french hip hop   ☷   ⓘ"
Benson Boone,pop   ☷   ⓘ
The White Stripes,"garage rock, detroit rock, permanent wave, rock, punk blues, alternative rock, modern rock, modern blues rock, blues rock   ☷   ⓘ"
 Russ Millions,"melodic drill, uk drill   ☷   ⓘ"
 Jamie Scott,uk pop   ☷   ⓘ
 DJ Henrique da VK,funk 150 bpm   ☷   ⓘ
MiC LOWRY,"Related artists in: pop r&b, r&b, post-teen pop, trap soul, urban contemporary, afroswing, alternative r&b, chill r&b, hip pop, pop rap   ☷   ⓘ"
 Dave Stewart,"rock keyboard, new wave pop   ☷   ⓘ"
 Travis Barker,rap rock   ☷   ⓘ
LUDMILLA,"funk pop, pop nacional, pagode baiano, funk carioca   ☷   ⓘ"
 Vance Joy,"folk-pop, pop   ☷   ⓘ"
 Cozz,underground hip hop   ☷   ⓘ
 Salve Malak,pop rap brasileiro   ☷   ⓘ
Eagles,"heartland rock, mellow gold, soft rock, classic rock, yacht rock, album rock, rock, folk rock, singer-songwriter, country rock   ☷   ⓘ"
Lizzo,"minnesota hip hop, pop, trap queen, escape room   ☷   ⓘ"
Ella Mai,"uk contemporary r&b, r&b, pop, urban contemporary, post-teen pop, rap, dance pop   ☷   ⓘ"
6LACK,"rap, melodic rap, atl hip hop, r&b, trap, hip hop, pop   ☷   ⓘ"
 Kim Petras,"transpop, dance pop, pop, post-teen pop   ☷   ⓘ"
 Sonus030,"Sorry, that one doesn't seem to be on any of these maps yet."
Purple Disco Machine,"tropical house, deep house, house   ☷   ⓘ"
 Jeon,ritmo kombina   ☷   ⓘ
 Chris Stapleton,"outlaw country, contemporary country   ☷   ⓘ"
Blanco Brown,"black americana, country rap   ☷   ⓘ"
Tarkan,turkish pop   ☷   ⓘ
Lil Nas X,"lgbtq+ hip hop, pop   ☷   ⓘ"
