autor,estilo
Rockwell,"Related artists in: new romantic, new wave, new wave pop, soft rock, synthpop, mellow gold, disco, album rock, hi-nrg, novelty   ☷   ⓘ"
 Maren Morris,"contemporary country, country, texas country, country road, pop   ☷   ⓘ"
Soul,"Sorry, that one doesn't seem to be on any of these maps yet."
 Be,"Sorry, that one doesn't seem to be on any of these maps yet."
cakal,turkce drill   ☷   ⓘ
Idina Menzel,"hollywood, show tunes   ☷   ⓘ"
 GIMS,"rap conscient, francoton, french hip hop   ☷   ⓘ"
 Ky,"Sorry, that one doesn't seem to be on any of these maps yet."
Red Hot Chili Peppers,"funk rock, funk metal, permanent wave, alternative rock   ☷   ⓘ"
 Giggs,"grime, london rap, uk hip hop, uk alternative hip hop   ☷   ⓘ"
 Sean Ono Lennon,beatlesque   ☷   ⓘ
Anne,"Related artists in: japanese singer-songwriter, okinawan folk, classic j-pop, okinawan pop   ☷   ⓘ"
 Farruko,"reggaeton, latin hip hop, trap latino, urbano latino   ☷   ⓘ"
 Evaluna Montaner,"latin viral pop, pop venezolano   ☷   ⓘ"
 Bono,hollywood   ☷   ⓘ
 Patricia Quinn,"Sorry, that one doesn't seem to be on any of these maps yet."
 Nile Rodgers,disco   ☷   ⓘ
 Winona Oak,"alt z, swedish pop, electropop, pop   ☷   ⓘ"
Van Halen,"rock, hard rock, album rock, classic rock, metal   ☷   ⓘ"
De La Ghetto,"reggaeton, latin hip hop, urbano latino, trap latino, reggaeton flow   ☷   ⓘ"
Porky Slim,"Sorry, that one doesn't seem to be on any of these maps yet."
Carlos Vives,"colombian pop, champeta, vallenato, latin pop, tropical   ☷   ⓘ"
Rammstein,"neue deutsche harte, industrial rock, german metal, industrial, industrial metal, alternative metal   ☷   ⓘ"
Norah Jones,"jazz pop, contemporary vocal jazz   ☷   ⓘ"
Sof,"Sorry, that one doesn't seem to be on any of these maps yet."
 Kim Jong Wan of NELL,"korean ost, korean pop   ☷   ⓘ"
 HUGEL,"deep house, pop dance, tropical house, edm   ☷   ⓘ"
Trippie Redd,"melodic rap, rap, trap   ☷   ⓘ"
 Morad,"drill espanol, urbano espanol   ☷   ⓘ"
 The Neptunes,"Related artists in: hip hop, alternative hip hop, southern hip hop, underground hip hop, rap, atl hip hop, pop rap, virginia hip hop, dirty south rap, neo soul   ☷   ⓘ"
 Savage,"nz hip hop, italian disco   ☷   ⓘ"
Neil Diamond,"brill building pop, mellow gold, yacht rock, soft rock, folk rock, singer-songwriter, adult standards, classic rock   ☷   ⓘ"
LISA,k-pop   ☷   ⓘ
 Christian Ch,"Sorry, that one doesn't seem to be on any of these maps yet."
 RANI,dutch pop   ☷   ⓘ
 Matt Ox,"vapor trap, plugg, melodic rap, underground hip hop   ☷   ⓘ"
 Miquela,"ai, la pop   ☷   ⓘ"
EXO,"k-pop, k-pop boy group   ☷   ⓘ"
 Dalmata,"reggaeton, latin hip hop, urbano latino, reggaeton flow   ☷   ⓘ"
The Cranberries,"pop rock, irish rock   ☷   ⓘ"
Hayley Kiyoko,"electropop, pop, post-teen pop, alt z, indie poptimism, indie pop, dance pop   ☷   ⓘ"
 Nechie,"Related artists in: atl trap, vapor trap, trap   ☷   ⓘ"
 Mc Rennan,"rave funk, funk mtg   ☷   ⓘ"
Cochise,"plugg, pluggnb, viral rap   ☷   ⓘ"
 Sorocaba,"Related artists in: arrocha, sertanejo, sertanejo pop, sertanejo universitario   ☷   ⓘ"
Nessa Barrett,"pop, social media pop, alt z   ☷   ⓘ"
 Lary Over,"trap latino, urbano latino, reggaeton flow, reggaeton, latin hip hop   ☷   ⓘ"
Maes,"pop urbaine, french hip hop, rap francais   ☷   ⓘ"
 MAX,"pop, viral pop, post-teen pop, dance pop   ☷   ⓘ"
 JP Cooper,"uk pop, neo mellow, tropical house, pop, dance pop   ☷   ⓘ"
 Tchakabum,"axe, pagode, funk carioca   ☷   ⓘ"
The Weeknd,"canadian contemporary r&b, canadian pop, pop   ☷   ⓘ"
 Maty Noyes,"alt z, indie poptimism, electropop   ☷   ⓘ"
 Cardi B,"pop, rap, dance pop   ☷   ⓘ"
 TGT,"Related artists in: r&b, pop r&b, urban contemporary, hip pop, contemporary r&b, neo soul, pop rap, alternative r&b, boy band, dance pop   ☷   ⓘ"
 Sido,german hip hop   ☷   ⓘ
Tyler,"Sorry, that one doesn't seem to be on any of these maps yet."
Miley Cyrus,"pop, post-teen pop, dance pop   ☷   ⓘ"
 Ed Sheeran,"uk pop, pop   ☷   ⓘ"
Leon Bridges,modern blues   ☷   ⓘ
Rocco Hunt,"rap napoletano, pop virale italiano, italian pop, italian hip hop   ☷   ⓘ"
 Sheck Wes,"vapor trap, trap, rap, underground hip hop, viral rap   ☷   ⓘ"
Mud,"classic uk pop, glam rock   ☷   ⓘ"
Gentleman,"german reggae, reggae fusion, cologne hip hop, german hip hop   ☷   ⓘ"
Gante,"Sorry, that one doesn't seem to be on any of these maps yet."
 Lazza,"rap genovese, trap italiana, italian hip hop   ☷   ⓘ"
Kevin Gates,"baton rouge rap, trap, southern hip hop, pop rap, rap   ☷   ⓘ"
 Tarc,"Related artists in: liquid funk, dutch dnb, uk dnb, deep dnb, drum and bass, jazzy dnb, dancefloor dnb, drumfunk   ☷   ⓘ"
oz,"Related artists in: schweizer rap, swiss hip hop, swiss trap   ☷   ⓘ"
 Leslie Grace,"bachata, show tunes, hollywood   ☷   ⓘ"
 Willow Sage Hart,show tunes   ☷   ⓘ
 Maite Perroni,"mexican pop, latin pop   ☷   ⓘ"
Clairo,"bedroom pop, indie pop, pop   ☷   ⓘ"
Rick Ross,"rap, southern hip hop, trap, pop rap, hip hop, dirty south rap, gangster rap   ☷   ⓘ"
 Darell,"trap latino, urbano latino, reggaeton flow, reggaeton, latin hip hop   ☷   ⓘ"
Jowell ,"perreo, latin hip hop, reggaeton flow, reggaeton   ☷   ⓘ"
Panic,"Related artists in: k-rock, classic korean pop, k-indie, korean city pop, korean indie rock, korean pop, korean singer-songwriter   ☷   ⓘ"
Norm Ender,"turkish hip hop, turkish trap   ☷   ⓘ"
mba,"korean trap, k-rap   ☷   ⓘ"
The Beatles,"beatlesque, british invasion, merseybeat, psychedelic rock, classic rock, rock   ☷   ⓘ"
 Original Quality,"Sorry, that one doesn't seem to be on any of these maps yet."
Fifth Harmony,"pop, dance pop, post-teen pop, girl group, talent show   ☷   ⓘ"
MC Ingryd,funk 150 bpm   ☷   ⓘ
Elisa,"italian pop, italian adult pop   ☷   ⓘ"
 Nio Garcia,"trap latino, urbano latino, reggaeton, latin hip hop   ☷   ⓘ"
 Thundercat,afrofuturism   ☷   ⓘ
Likybo,cali rap   ☷   ⓘ
 Chris Willis,"Related artists in: gospel, deep christian rock, a cappella, christian a cappella   ☷   ⓘ"
s Tears,"Sorry, that one doesn't seem to be on any of these maps yet."
Joakim Lundell,swedish pop   ☷   ⓘ
BlocBoy JB,"tennessee hip hop, trap, memphis hip hop, vapor trap, southern hip hop, rap, viral rap   ☷   ⓘ"
 Madonna,"dance pop, pop   ☷   ⓘ"
Nacho,"pop venezolano, latin pop, reggaeton, dominican pop, urbano latino   ☷   ⓘ"
 Burna Boy,"nigerian hip hop, afro dancehall, nigerian pop, dancehall   ☷   ⓘ"
Gu,"Sorry, that one doesn't seem to be on any of these maps yet."
Miami Yacine,"german hip hop, albanian hip hop   ☷   ⓘ"
 Squeezie,chanson virale   ☷   ⓘ
 Saia Rodada,"axe, forro   ☷   ⓘ"
Don Patricio,"rap canario, urbano espanol   ☷   ⓘ"
Leona Lewis,"dance pop, british soul, talent show, post-teen pop, europop, pop   ☷   ⓘ"
Marc E,"glam rock, protopunk, rock, classic rock, psychedelic rock, art rock, folk rock, album rock, blues rock   ☷   ⓘ"
Duke ,"Related artists in: calypso, soca   ☷   ⓘ"
 and His Orchestra,"rain, ocean   ☷   ⓘ"
mc jhenny,"funk mandelao, funk carioca   ☷   ⓘ"
Sick Luke,"trap italiana, italian hip hop   ☷   ⓘ"
 Ina Wroldsen,norwegian pop   ☷   ⓘ
 Killstation,"dark trap, emo rap, underground hip hop   ☷   ⓘ"
Prince Royce,"bachata, latin hip hop, latin pop   ☷   ⓘ"
 Alex Aiono,post-teen pop   ☷   ⓘ
 Coely,"belgian hip hop, vlaamse rap   ☷   ⓘ"
Denarro,"Sorry, that one doesn't seem to be on any of these maps yet."
 Yeis Sensura,turkish hip hop   ☷   ⓘ
Curtis Waters,"Related artists in: hyperpop, indie r&b, modern alternative pop, modern indie pop, bedroom pop, indie hip hop   ☷   ⓘ"
FKA twigs,"experimental r&b, afrofuturism, art pop, escape room, alternative r&b, trip hop, pop   ☷   ⓘ"
Quality Control,"melodic rap, rap, trap, southern hip hop, pop rap, hip hop   ☷   ⓘ"
Jovem Dionisio,indie curitibano   ☷   ⓘ
System Of A Down,"rap metal, alternative metal, nu metal   ☷   ⓘ"
 Esperanza Spalding,"jazz pop, electric bass, jazz fusion, neo soul, jazz, indie jazz   ☷   ⓘ"
 Oliver Heldens,"edm, pop dance, future house, house, electro house, tropical house, progressive house, progressive electro house, dance pop   ☷   ⓘ"
 James Blake,"uk alternative pop, indie soul, electronica   ☷   ⓘ"
Foushe,"Sorry, that one doesn't seem to be on any of these maps yet."
Normani,"post-teen pop, pop, dance pop, r&b, urban contemporary, rap   ☷   ⓘ"
JEON SOMI,"k-pop, pop   ☷   ⓘ"
 JID,"rap, hip hop   ☷   ⓘ"
ElyOtto,"weirdcore, hyperpop   ☷   ⓘ"
Jon Bellion,pop rap   ☷   ⓘ
Avril Lavigne,"candy pop, canadian pop, post-teen pop, pop, dance pop   ☷   ⓘ"
 MC Kekel,"funk carioca, funk consciente, funk paulista, funk ostentacao   ☷   ⓘ"
Passenger,"folk-pop, neo mellow   ☷   ⓘ"
MC Bruninho,"batidao romantico, pop teen brasileiro, brega romantico, brega funk, funk carioca   ☷   ⓘ"
 Elton John,"glam rock, piano rock, mellow gold   ☷   ⓘ"
 Houari,pop urbaine   ☷   ⓘ
 Dua Lipa,"pop, uk pop, dance pop   ☷   ⓘ"
Kendrick Lamar,"conscious hip hop, rap, west coast rap, hip hop   ☷   ⓘ"
jo,"Sorry, that one doesn't seem to be on any of these maps yet."
 Olly Murs,"talent show, dance pop, uk pop, pop, post-teen pop, pop dance   ☷   ⓘ"
 Conor Maynard,"uk pop, post-teen pop, pop, dance pop   ☷   ⓘ"
 XYL,"Related artists in: alt z, pop, gen z singer-songwriter, indie pop   ☷   ⓘ"
 Yxng Bane,"afroswing, uk dancehall, uk hip hop   ☷   ⓘ"
Jawsh ,"Sorry, that one doesn't seem to be on any of these maps yet."
 ArrDee,uk hip hop   ☷   ⓘ
 Alfonso Herrera,"Related artists in: latin pop, mexican pop, latin arena pop, ranchera, dance pop, mariachi, pop, post-teen pop, rock en espanol   ☷   ⓘ"
 Mc Davi,"funk paulista, funk carioca, funk ostentacao, funk mtg   ☷   ⓘ"
 MC Eiht,"g funk, west coast rap, gangster rap   ☷   ⓘ"
 Supa Bwe,"underground hip hop, pop rap   ☷   ⓘ"
 London Grammar,"nottingham indie, metropopolis   ☷   ⓘ"
 Peven Everett,"deep house, soulful house, neo soul   ☷   ⓘ"
Yahritza Y Su Esencia,sad sierreno   ☷   ⓘ
 Mark Morrison,british soul   ☷   ⓘ
Dark Polo Gang,"trap italiana, italian hip hop, italian indie pop   ☷   ⓘ"
 Alesso,"pop dance, edm, tropical house, pop, dance pop, electro house   ☷   ⓘ"
 Bastille,"metropopolis, pop rock, modern rock, pop   ☷   ⓘ"
 Young Stoner Life,"rap, trap, southern hip hop, hip hop   ☷   ⓘ"
 Jace,"Related artists in: underground hip hop, vapor trap, atl hip hop, indie hip hop, boston hip hop, dark trap, new jersey rap, rap   ☷   ⓘ"
 Ray Dalton,"Related artists in: german pop, uk pop, swiss pop, tropical house   ☷   ⓘ"
Matt Terry,talent show   ☷   ⓘ
ABBA,"europop, swedish pop   ☷   ⓘ"
 Giant Rooks,"Related artists in: german indie, german rock, german pop, german punk rock, austrian indie, cologne indie   ☷   ⓘ"
Kordhell,drift phonk   ☷   ⓘ
 Davi,"Sorry, that one doesn't seem to be on any of these maps yet."
Kevin Kaarl,indie triste   ☷   ⓘ
 Santana,"mexican classic rock, classic rock, blues rock   ☷   ⓘ"
 Brando,"pop dance, tropical house, edm, covertronica, pop edm, electro house, dance pop   ☷   ⓘ"
 Fernando ,"Sorry, that one doesn't seem to be on any of these maps yet."
n,"Sorry, that one doesn't seem to be on any of these maps yet."
 Thutmose,underground hip hop   ☷   ⓘ
Pooh Shiesty,"tennessee hip hop, memphis hip hop, trap, southern hip hop, rap   ☷   ⓘ"
 j,"Sorry, that one doesn't seem to be on any of these maps yet."
Bonnie Tyler,"new wave pop, soft rock, europop, disco   ☷   ⓘ"
 Analaga,"Related artists in: sertanejo pop, sertanejo universitario, sertanejo, arrocha, forro, funk carioca   ☷   ⓘ"
Grupo Frontera,nueva musica mexicana   ☷   ⓘ
 Cheat Codes,"pop, pop dance, tropical house, edm, dance pop, electropop, electro house, pop edm, post-teen pop   ☷   ⓘ"
 Tanna Leone,"Related artists in: underground hip hop, rap, hip hop, indie hip hop, alternative hip hop, atl hip hop, boom bap, escape room   ☷   ⓘ"
 Victor Hugo,Related artists in: musica gaucha tradicionalista   ☷   ⓘ
Band Aid,musical advocacy   ☷   ⓘ
 Juju,"frauenrap, german hip hop   ☷   ⓘ"
 Callie Hernandez,"Sorry, that one doesn't seem to be on any of these maps yet."
 Jeon,ritmo kombina   ☷   ⓘ
 Morgan Wallen,"contemporary country, country   ☷   ⓘ"
Bo Burnham,comic   ☷   ⓘ
 Alec Benjamin,"electropop, pop, alt z   ☷   ⓘ"
 Rafa Pab,"Sorry, that one doesn't seem to be on any of these maps yet."
 Shenseea,"dancehall queen, dancehall   ☷   ⓘ"
Dylan Conrique,"social media pop, alt z   ☷   ⓘ"
Thiaguinho MT,brega funk   ☷   ⓘ
blink,"Sorry, that one doesn't seem to be on any of these maps yet."
 YNW Melly,"melodic rap, trap, viral rap   ☷   ⓘ"
 Nivea,"hip pop, r&b, urban contemporary, atl hip hop, contemporary r&b, pop r&b   ☷   ⓘ"
 Fall Out Boy,"emo, modern rock   ☷   ⓘ"
 Big Rube,atl hip hop   ☷   ⓘ
Macklemore,"seattle hip hop, pop rap   ☷   ⓘ"
Rich Brian,indonesian hip hop   ☷   ⓘ
 Sky Rompiendo,"urbano latino, reggaeton flow   ☷   ⓘ"
 Vince Staples,"conscious hip hop, underground hip hop, rap, hip hop   ☷   ⓘ"
Pink Sweat,"Sorry, that one doesn't seem to be on any of these maps yet."
 Ariana Grande,"pop, dance pop   ☷   ⓘ"
Madonna,"dance pop, pop   ☷   ⓘ"
Hippie Sabotage,"electronic trap, edm   ☷   ⓘ"
Dedubl,"Sorry, that one doesn't seem to be on any of these maps yet."
 ILLENIUM,"melodic dubstep, pop dance, tropical house, edm, pop   ☷   ⓘ"
 KC Rebell,"german drill, german hip hop, deep german hip hop   ☷   ⓘ"
Jason Mraz,"neo mellow, pop rock, acoustic pop, pop   ☷   ⓘ"
MC MENOR HR,"Related artists in: funk mtg, funk carioca, funk bh, funk ostentacao, funk consciente, funk viral   ☷   ⓘ"
BoyWithUke,sad rap   ☷   ⓘ
 Don Omar,"puerto rican pop, reggaeton, latin hip hop, urbano latino   ☷   ⓘ"
 London On Da Track,atl hip hop   ☷   ⓘ
 Kid Ink,"pop rap, rap, trap, southern hip hop, dance pop, hip hop   ☷   ⓘ"
Alvaro Soler,latin pop   ☷   ⓘ
 Anna of the North,"vapor pop, electropop, indie poptimism, norwegian pop   ☷   ⓘ"
Maggie Lindemann,"dark pop, alt z, post-teen pop, pop, pop punk   ☷   ⓘ"
 Jungleboi,"Related artists in: bass trap, pop edm, alt z, modern alternative rock, traprun   ☷   ⓘ"
Amin,"Related artists in: korean r&b, chill r&b   ☷   ⓘ"
Kenny Rogers,"nashville sound, classic country pop, mellow gold, soft rock, country, adult standards   ☷   ⓘ"
 Cults,"indie surf, experimental pop, indie pop, pop   ☷   ⓘ"
 Ski Mask The Slump God,"miami hip hop, rap   ☷   ⓘ"
 Mau y Ricky,"pop venezolano, reggaeton, latin pop, urbano latino   ☷   ⓘ"
 Mahmood,italian pop   ☷   ⓘ
 Puri,basshall   ☷   ⓘ
 JAY,"Related artists in: country pop, contemporary country   ☷   ⓘ"
Pedro Cap,"Sorry, that one doesn't seem to be on any of these maps yet."
Melanie Thornton,"Related artists in: german pop, schlager, german rock, bubblegum dance, europop, german pop rock   ☷   ⓘ"
PEDRO SAMPAIO,funk carioca   ☷   ⓘ
 Naps,"rap marseille, francoton, pop urbaine, french hip hop   ☷   ⓘ"
 Pretty Sister,la pop   ☷   ⓘ
mo,"electropop, pop, dance pop, tropical house, danish pop, edm   ☷   ⓘ"
 Neo Beats,trap brasileiro   ☷   ⓘ
Haftbefehl,german hip hop   ☷   ⓘ
Pusha T,"rap, virginia hip hop, hip hop, southern hip hop, trap, underground hip hop, alternative hip hop, pop rap   ☷   ⓘ"
 Dulce Mar,"Sorry, that one doesn't seem to be on any of these maps yet."
 Dermot Kennedy,"irish pop, folk-pop, pop   ☷   ⓘ"
 Killer Mike,"old school atlanta hip hop, political hip hop, conscious hip hop, atl hip hop, southern hip hop, escape room, alternative hip hop   ☷   ⓘ"
PUBLIC,indie rockism   ☷   ⓘ
Cauty,"urbano latino, trap latino, reggaeton flow, perreo, reggaeton, dominican pop   ☷   ⓘ"
Yeat,pluggnb   ☷   ⓘ
 Topher Ngo,Related artists in: pop r&b   ☷   ⓘ
Lucky Daye,"r&b, indie r&b, alternative r&b, pop   ☷   ⓘ"
 ROZES,"indie poptimism, pop edm, electropop   ☷   ⓘ"
 Willy William,francoton   ☷   ⓘ
U,"Sorry, that one doesn't seem to be on any of these maps yet."
 Sharaya J,"jersey club, new jersey rap, escape room   ☷   ⓘ"
 Big Ali,"Related artists in: francoton, french pop   ☷   ⓘ"
DJ Khaled,"rap, miami hip hop, pop rap, southern hip hop, trap, hip hop   ☷   ⓘ"
 Benuto,"Sorry, that one doesn't seem to be on any of these maps yet."
ngeles Azules,"Sorry, that one doesn't seem to be on any of these maps yet."
 The Man,"Related artists in: rap malien, guinean pop   ☷   ⓘ"
 Knox Fortune,chicago indie   ☷   ⓘ
MACHETE,"trap italiana, italian hip hop   ☷   ⓘ"
 Solda,"Related artists in: atl hip hop, french folk pop, french reggae, french rock, pop urbaine   ☷   ⓘ"
Mc Paiva ZS,funk carioca   ☷   ⓘ
 Arrhult,scandipop   ☷   ⓘ
Boney M,"Sorry, that one doesn't seem to be on any of these maps yet."
 S,"Sorry, that one doesn't seem to be on any of these maps yet."
CNCO,"boy band, latin pop, reggaeton   ☷   ⓘ"
Marshmello,"brostep, pop, progressive electro house, edm, pop dance, dance pop   ☷   ⓘ"
 Sech,"urbano latino, reggaeton, panamanian pop   ☷   ⓘ"
 Chris Stapleton,"outlaw country, contemporary country   ☷   ⓘ"
Glass Animals,"gauze pop, shiver pop, indietronica   ☷   ⓘ"
 Wyclef Jean,rap kreyol   ☷   ⓘ
 The,"Sorry, that one doesn't seem to be on any of these maps yet."
Rex Orange County,"bedroom pop, pop   ☷   ⓘ"
Paulo Pires,"arrocha, piseiro, arrochadeira, forro, sertanejo pop   ☷   ⓘ"
 Tokischa,"trap dominicano, rap latina, dominican pop   ☷   ⓘ"
Ir Sais,"ritmo kombina, basshall, dutch rap pop, dominican pop   ☷   ⓘ"
The Clash,"permanent wave, rock, punk, classic rock   ☷   ⓘ"
 Colors,"Related artists in: classic opm, new italo disco, opm, italian disco, manila sound, new wave, new wave pop, pinoy rock, pop rock   ☷   ⓘ"
 Bradley Cooper,hollywood   ☷   ⓘ
NSYNC,"Related artists in: deep swedish rock, swedish hard rock   ☷   ⓘ"
Vundabar,"boston indie, indie garage rock, indie pop   ☷   ⓘ"
Adele,"pop soul, british soul, uk pop, pop   ☷   ⓘ"
James Hype,"uk dance, pop dance, house, deep groove house, edm   ☷   ⓘ"
Cash Cash,"edm, pop dance, electropowerpop, tropical house, pop edm, electro house, dance pop, electropop, pop   ☷   ⓘ"
 Naisgai,"Sorry, that one doesn't seem to be on any of these maps yet."
meas Lacra,"Sorry, that one doesn't seem to be on any of these maps yet."
CHVRCHES,"metropopolis, shimmer pop, electropop, neo-synthpop   ☷   ⓘ"
 Davi Kneip,"funk consciente, funk bh, funk carioca, funk mtg   ☷   ⓘ"
ha,"Sorry, that one doesn't seem to be on any of these maps yet."
 The Greatest Showman Ensemble,movie tunes   ☷   ⓘ
G Herbo,"chicago rap, chicago drill, drill, trap, rap, southern hip hop, hip hop   ☷   ⓘ"
Coolio,"g funk, west coast rap, gangster rap, hip hop, rap   ☷   ⓘ"
Charlie Charles,"italian hip hop, italian pop   ☷   ⓘ"
Isaiah Rashad,"tennessee hip hop, underground hip hop, rap, hip hop   ☷   ⓘ"
 Joell Ortiz,"battle rap, hardcore hip hop, alternative hip hop   ☷   ⓘ"
 Vybz Kartel,"reggae fusion, dancehall, jamaican dancehall   ☷   ⓘ"
 Julian Casablancas,indie rock   ☷   ⓘ
 Captain Cuts,pop edm   ☷   ⓘ
Lil Durk,"drill, chicago drill, chicago rap, trap, rap, hip hop   ☷   ⓘ"
Burna Boy,"nigerian hip hop, afro dancehall, nigerian pop, dancehall   ☷   ⓘ"
 Sam Tompkins,"Related artists in: uk pop, uk contemporary r&b, alt z, gen z singer-songwriter, irish pop   ☷   ⓘ"
 Miggy Dela Rosa,dance pop   ☷   ⓘ
Victor Cibrian,"nueva musica mexicana, corrido, corridos tumbados   ☷   ⓘ"
SALES,orlando indie   ☷   ⓘ
 Rita Ora,"dance pop, pop, post-teen pop, uk pop, tropical house, edm, electropop, pop rap   ☷   ⓘ"
KIDS SEE GHOSTS,"rap, hip hop   ☷   ⓘ"
Gabriel Diniz,"forro, sertanejo pop, funk carioca   ☷   ⓘ"
 Tyler Cole,bedroom soul   ☷   ⓘ
RAYE,"uk pop, uk contemporary r&b, dance pop, pop, tropical house, post-teen pop, pop dance   ☷   ⓘ"
Meat Loaf,"album rock, mellow gold, soft rock, classic rock, rock   ☷   ⓘ"
Lil Peep,"lgbtq+ hip hop, emo rap   ☷   ⓘ"
 Tiago PZK,"trap argentino, urbano latino   ☷   ⓘ"
 Nicki Minaj,"queens hip hop, pop, dance pop, hip pop, rap   ☷   ⓘ"
Nause,"progressive electro house, swedish pop, pop dance, edm   ☷   ⓘ"
 James Carter,"covertronica, pop dance, pop edm, tropical house, edm   ☷   ⓘ"
Jona Lewie,new wave pop   ☷   ⓘ
Tusse,swedish pop   ☷   ⓘ
rmo,"Sorry, that one doesn't seem to be on any of these maps yet."
 MC MENOR SG,"Sorry, that one doesn't seem to be on any of these maps yet."
 Sophia Somajo,swedish electropop   ☷   ⓘ
IAmChino,"cubaton, reggaeton   ☷   ⓘ"
 Hugo ,thai folk   ☷   ⓘ
 John Mayer,"neo mellow, singer-songwriter   ☷   ⓘ"
 Internet Money,"rap, trap, viral rap, pop rap   ☷   ⓘ"
 Bobby Shmurda,"nyc rap, trap, rap, southern hip hop, pop rap   ☷   ⓘ"
Jnr Choi,gambian hip hop   ☷   ⓘ
Brytiago,"trap latino, urbano latino, reggaeton, reggaeton flow, latin hip hop   ☷   ⓘ"
 MORTEN,"danish electronic, scandipop   ☷   ⓘ"
Dynoro,"pop dance, tropical house, edm, electro house   ☷   ⓘ"
Yuridia,"latin arena pop, mexican pop, latin pop   ☷   ⓘ"
Samra,german hip hop   ☷   ⓘ
Dolly Parton,"classic country pop, country dawn, country   ☷   ⓘ"
Jeff Costa,arrochadeira   ☷   ⓘ
Luke Combs,"contemporary country, country   ☷   ⓘ"
King Princess,"nyc pop, indie pop, electropop, pop, alt z, art pop, indie poptimism   ☷   ⓘ"
 Chris Jedi,"urbano latino, trap latino, reggaeton, reggaeton flow, latin hip hop   ☷   ⓘ"
Robyn,"electropop, swedish electropop, scandipop, dance pop, art pop, swedish pop, pop   ☷   ⓘ"
James Arthur,"pop, uk pop, talent show   ☷   ⓘ"
Farid Bang,german hip hop   ☷   ⓘ
Eminem,"detroit hip hop, rap, hip hop   ☷   ⓘ"
Alicia Keys,"urban contemporary, neo soul, hip pop, r&b, pop   ☷   ⓘ"
 Mc Doguinha,"Related artists in: funk carioca, funk ostentacao, funk mtg, funk paulista, funk bh   ☷   ⓘ"
Rich Music LTD,"urbano latino, reggaeton   ☷   ⓘ"
 Christine and the Queens,"electro-pop francais, metropopolis, electropop, shimmer pop, art pop   ☷   ⓘ"
Gemitaiz,italian hip hop   ☷   ⓘ
Fedez,italian pop   ☷   ⓘ
 Mr,"Sorry, that one doesn't seem to be on any of these maps yet."
Kitty,"escape room, hyperpop   ☷   ⓘ"
Mitski,"brooklyn indie, pop   ☷   ⓘ"
Yo,"Related artists in: suomi rock, iskelma, finnish pop, classic iskelma, classic finnish pop, classic finnish rock, finnish dance pop   ☷   ⓘ"
 Kash Doll,"trap queen, pop r&b, detroit hip hop, hip pop, alternative r&b, r&b, rap   ☷   ⓘ"
