autor,estilo
 Russ,"hawaiian hip hop, rap   ☷   ⓘ"
 HVME,slap house   ☷   ⓘ
 Grace Jones,"new wave pop, disco, synthpop, new romantic, art rock, dance pop   ☷   ⓘ"
Andrew Gold,"underground power pop, soft rock   ☷   ⓘ"
 Joony,"Related artists in: vapor trap, plugg, pluggnb, underground hip hop, indie hip hop, indie r&b, alternative r&b, dark plugg   ☷   ⓘ"
K,"Sorry, that one doesn't seem to be on any of these maps yet."
 MC Pupio,"Sorry, that one doesn't seem to be on any of these maps yet."
 Lauren Alaina,"contemporary country, country, country dawn, country road, country pop   ☷   ⓘ"
 Tony Igy,russian dance   ☷   ⓘ
 Phoebe Bridgers,"la indie, indie pop   ☷   ⓘ"
HAB,"Sorry, that one doesn't seem to be on any of these maps yet."
 Danny Ocean,"pop venezolano, reggaeton, trap latino   ☷   ⓘ"
 Henri Ren,"Sorry, that one doesn't seem to be on any of these maps yet."
 Fedez,italian pop   ☷   ⓘ
 Samra,german hip hop   ☷   ⓘ
 Phoebe Ryan,"indie poptimism, electropop, alt z   ☷   ⓘ"
Ellie Goulding,"pop, dance pop, uk pop, indietronica, metropopolis, post-teen pop, electropop, edm   ☷   ⓘ"
Dermot Kennedy,"irish pop, folk-pop, pop   ☷   ⓘ"
 Agnes,"swedish electropop, electropop, swedish idol pop, swedish pop, europop, dance pop   ☷   ⓘ"
Lauren Daigle,"christian music, ccm, worship, christian alternative rock   ☷   ⓘ"
 Anuel AA,"trap boricua, trap latino, reggaeton, reggaeton flow   ☷   ⓘ"
Maggie Rogers,"indie pop, pop   ☷   ⓘ"
 ELIF,"frauenrap, german singer-songwriter, german pop, german hip hop   ☷   ⓘ"
Mother Mother,"vancouver indie, indie pop   ☷   ⓘ"
 Bianca,pop nacional   ☷   ⓘ
Tarc,"Related artists in: liquid funk, dutch dnb, uk dnb, deep dnb, drum and bass, jazzy dnb, dancefloor dnb, drumfunk   ☷   ⓘ"
Alok,"pop nacional, slap house, electro house   ☷   ⓘ"
The Black Keys,"garage rock, punk blues, rock, modern blues rock, modern rock, alternative rock, blues rock, roots rock   ☷   ⓘ"
Aya Nakamura,"basshall, francoton, pop urbaine   ☷   ⓘ"
 Gloria Groove,"pop lgbtq+ brasileira, funk carioca   ☷   ⓘ"
Mani Marley,"Sorry, that one doesn't seem to be on any of these maps yet."
 Ne,"Sorry, that one doesn't seem to be on any of these maps yet."
Eno,german drill   ☷   ⓘ
 Nuka,"Related artists in: cumbia ecuatoriana, ecuadorian indie, latintronica, shamanic   ☷   ⓘ"
 Chris Brown,"r&b, dance pop, pop   ☷   ⓘ"
 His Orchestra,"Related artists in: british dance band, polka   ☷   ⓘ"
Hannah Kerr,"ccm, christian pop, anthem worship   ☷   ⓘ"
 Capital Bra,german hip hop   ☷   ⓘ
Niska,"pop urbaine, french hip hop   ☷   ⓘ"
 Blake Shelton,"oklahoma country, contemporary country, country road, country   ☷   ⓘ"
Peter Manos,"Related artists in: sad lo-fi, pop, sad rap, chill r&b, electropop, lo-fi chill, alt z, bedroom soul, chill pop   ☷   ⓘ"
Paloma Mami,"reggaeton chileno, trap chileno, latin pop   ☷   ⓘ"
 Ludwig Goransson,"nordic soundtrack, orchestral soundtrack, soundtrack   ☷   ⓘ"
Enrique Iglesias,"mexican pop, latin pop   ☷   ⓘ"
 Stunna ,"Sorry, that one doesn't seem to be on any of these maps yet."
 Colbie Caillat,"neo mellow, pop rock, pop, dance pop, post-teen pop   ☷   ⓘ"
Rochy RD,"dembow, rap dominicano, dominican pop, trap latino   ☷   ⓘ"
Avine Vinny,"arrocha, forro, sertanejo pop   ☷   ⓘ"
 Casper Magico,"trap latino, reggaeton flow, reggaeton, latin hip hop   ☷   ⓘ"
 Crissin,reggaeton colombiano   ☷   ⓘ
aespa,k-pop girl group   ☷   ⓘ
 Louis Tomlinson,"pop, post-teen pop   ☷   ⓘ"
 Evan Rachel Wood,hollywood   ☷   ⓘ
YNW Melly,"melodic rap, trap, viral rap   ☷   ⓘ"
t,"Sorry, that one doesn't seem to be on any of these maps yet."
 Bolad,"Sorry, that one doesn't seem to be on any of these maps yet."
a Reyes,"Sorry, that one doesn't seem to be on any of these maps yet."
 Xand Avi,"Sorry, that one doesn't seem to be on any of these maps yet."
Brisa Star,"arrocha, forro, sertanejo pop   ☷   ⓘ"
 Jordan Fisher,post-teen pop   ☷   ⓘ
 James Blunt,"neo mellow, pop rock, pop   ☷   ⓘ"
enel,"Related artists in: battle rap, harlem hip hop, trap, gangster rap, hardcore hip hop, hip hop, pop rap, rap, southern hip hop   ☷   ⓘ"
 Zara Larsson,"pop, scandipop, dance pop, swedish electropop, post-teen pop, tropical house, pop dance, edm, swedish pop, electropop   ☷   ⓘ"
 Anne,american shoegaze   ☷   ⓘ
Ashe,"pop, alt z, electropop, post-teen pop   ☷   ⓘ"
Eladio Carrion,"trap boricua, trap triste, trap latino   ☷   ⓘ"
 Bahari,"la pop, alt z   ☷   ⓘ"
Duki,"trap triste, argentine hip hop, trap argentino, trap latino   ☷   ⓘ"
Lil Uzi Vert,"melodic rap, philly rap, rap, trap   ☷   ⓘ"
 Cedric Gervais,"edm, electro house   ☷   ⓘ"
Mura Masa,"channel islands indie, hyperpop, vapor soul   ☷   ⓘ"
 Nitro,italian hip hop   ☷   ⓘ
Cordae,"rap, dmv rap, trap, hip hop, underground hip hop   ☷   ⓘ"
engo Flow,"Sorry, that one doesn't seem to be on any of these maps yet."
 Melody,"pop teen brasileiro, pop nacional, funk carioca   ☷   ⓘ"
 Maejor,detroit hip hop   ☷   ⓘ
Juan Mag,"Sorry, that one doesn't seem to be on any of these maps yet."
 Lu,"Sorry, that one doesn't seem to be on any of these maps yet."
 Damian Lemar Hudson,"Related artists in: underground hip hop, hip hop, rap, conscious hip hop, dmv rap, pop rap   ☷   ⓘ"
 Seeb,"tropical house, pop dance, edm, pop edm, norwegian pop, dance pop, pop, electro house, electropop   ☷   ⓘ"
Lil Skies,"melodic rap, rap, trap   ☷   ⓘ"
Jamie Miller,"pop soul, pop   ☷   ⓘ"
NIKI,"indonesian r&b, pop   ☷   ⓘ"
Benjamin Ingrosso,swedish pop   ☷   ⓘ
Eagles,"heartland rock, mellow gold, soft rock, classic rock, yacht rock, album rock, rock, folk rock, singer-songwriter, country rock   ☷   ⓘ"
 Jack White,"garage rock revival, garage rock, modern blues rock, punk blues, rock, blues rock, alternative rock, modern rock   ☷   ⓘ"
 The Kid LAROI,"australian hip hop, pop   ☷   ⓘ"
 Finneas O,perreo   ☷   ⓘ
 Fuse ODG,"afro dancehall, azonto, dance pop   ☷   ⓘ"
 EARTHGANG,"psychedelic hip hop, underground hip hop, atl hip hop, rap, hip hop   ☷   ⓘ"
DJ Snake,"pop, electronic trap, dance pop, edm, pop dance, pop rap   ☷   ⓘ"
Stray Kids,"k-pop boy group, k-pop   ☷   ⓘ"
 Dj Olliver,"Related artists in: funk mtg, funk carioca, rave funk, funk mandelao, funk ostentacao, funk paulista, funk viral   ☷   ⓘ"
 Ptazeta,"rap canario, urbano espanol   ☷   ⓘ"
 Swae Lee,"melodic rap, trap   ☷   ⓘ"
Kygo,"tropical house, pop dance, pop, edm   ☷   ⓘ"
 Twice As Nice,Related artists in: belgian dance   ☷   ⓘ
The Citizens of Halloween,halloween   ☷   ⓘ
 Inspectah Deck,"hardcore hip hop, east coast hip hop, hip hop   ☷   ⓘ"
 DaBaby,"north carolina hip hop, rap, trap   ☷   ⓘ"
 DJ ,"Sorry, that one doesn't seem to be on any of these maps yet."
 Carly Rae Jepsen,"pop, canadian pop, dance pop, post-teen pop, electropop   ☷   ⓘ"
Pentatonix,a cappella   ☷   ⓘ
 League of Legends,"speedrun, video game music   ☷   ⓘ"
 G,"Sorry, that one doesn't seem to be on any of these maps yet."
 Dj Tk,"funk viral, funk mtg, funk carioca   ☷   ⓘ"
Bring Me The Horizon,"uk metalcore, melodic metalcore, metalcore, rock   ☷   ⓘ"
 Sid Sriram,filmi   ☷   ⓘ
 Kitty Kat,"frauenrap, german hip hop   ☷   ⓘ"
 Conan Gray,"bedroom pop, pop   ☷   ⓘ"
 Beba,italian hip hop   ☷   ⓘ
 Banda MS de Sergio Liz,"Sorry, that one doesn't seem to be on any of these maps yet."
Trak,"Related artists in: mpb gospel, musica crista reformada, musica popular paraense, ukrainian metal, ukrainian rock   ☷   ⓘ"
 Lil Skies,"melodic rap, rap, trap   ☷   ⓘ"
The Neighbourhood,"shimmer pop, modern rock, modern alternative rock, pop   ☷   ⓘ"
 Eno,german drill   ☷   ⓘ
